Date,Frequency,Flux Density,Uncertainty,Upper Limit
53027.65,8.5,1633.0,97.89138113235506,No
53029.41,8.5,1676.0,93.73601228983449,No
53029.41,4.9,556.0,61.62661762582788,No
53030.36,22.0,1582.0,103.66199882309814,No
53041.36,8.5,1893.0,100.91393610398913,No
53041.36,4.9,938.0,67.10894128206763,No
53041.36,22.0,1856.0,116.84536790134217,No
53069.4,8.5,4567.0,231.4902211757551,No
53069.4,22.0,5205.0,277.3915328556371,No
53081.15,8.5,5957.0,302.7055045749912,No
53081.15,4.9,2326.0,157.35847609836594,No
53081.15,22.0,5964.0,341.7780566391002,No
53083.25,15.0,8284.0,441.5547984112505,No
53088.21,8.5,7012.0,355.3651080227208,No
53088.21,4.9,3101.0,173.56411639506595,No
53088.21,22.0,6508.0,364.3914927656792,No
53088.21,15.0,9016.0,501.1802470169789,No
53101.07,4.9,3952.0,222.3730199462156,No
53101.07,15.0,9739.0,539.3925310013108,No
53107.14,8.5,7661.0,387.56715869639936,No
53107.14,4.9,3678.0,199.36953127296056,No
53107.14,22.0,7196.0,390.20128139205286,No
53107.14,15.0,10607.0,579.6784647543843,No
53113.08,8.5,8258.0,417.09400619045107,No
53113.08,4.9,3387.0,186.44951729623762,No
53113.08,22.0,7017.0,390.74252711984144,No
53113.08,15.0,10940.0,603.9412223056148,No
53127.14,8.5,7829.0,396.3295377586687,No
53127.14,4.9,4473.0,238.20856932528687,No
53127.14,22.0,7651.0,405.339983840726,No
53127.14,15.0,10151.0,552.782056962778,No
53137.18,8.5,9587.0,483.2157101129888,No
53137.18,4.9,4927.0,259.01413571463627,No
53137.18,22.0,7216.0,393.4788939701849,No
53137.18,15.0,9983.0,556.9198528513775,No
53154.16,8.5,8175.0,418.7571641178214,No
53154.16,22.0,6075.0,330.3998524515409,No
53154.16,15.0,7963.0,451.0736331243492,No
53165.98,8.5,7942.0,401.3133563688107,No
53165.98,4.9,5574.0,303.4364678149283,No
53166.04,22.0,4341.0,235.35441890901475,No
53166.04,15.0,6657.0,389.86936594197806,No
53183.08,8.5,8889.0,457.6208064544269,No
53183.08,4.9,8097.0,468.6144710740376,No
53189.05,8.5,7613.0,399.72293216676974,No
53189.05,22.0,4267.0,246.26656797056316,No
53211.98,8.5,7575.0,396.7058891672772,No
53211.98,4.9,7808.0,457.226595901857,No
53212.02,15.0,3818.0,282.3239451410383,No
53212.99,22.0,3682.0,417.753288437087,No
53228.97,8.5,7156.0,380.6846989307556,No
53228.97,22.0,2654.0,249.25948326994504,No
53228.97,4.9,6505.0,409.62002209364715,No
53229.02,15.0,4488.0,351.84706905131384,No
53271.84,22.0,1722.0,191.4528923782558,No
53271.84,15.0,2300.0,231.5728826957077,No
53271.84,8.5,6084.0,386.8573897445931,No
53271.84,4.9,8873.0,702.7448487893739,No
53291.59,8.5,6487.0,332.6844187815234,No
53291.59,22.0,2816.0,186.30254963365368,No
53291.59,4.9,9423.0,488.2277363075556,No
53291.59,15.0,3850.0,264.22954036216316,No
53330.67,22.0,1749.0,146.87240210468406,No
53330.67,8.5,5091.0,281.4173102351737,No
53330.67,4.9,7796.0,409.6584430961969,No
53330.67,15.0,2978.0,247.74020666819507,No
53393.2,8.5,5273.0,366.09742214334153,No
53402.27,4.9,8267.0,474.4968097890649,No
53402.27,22.0,2058.0,269.4242194013003,No
53402.27,15.0,2270.0,400.42258927288304,No
53511.47,4.9,8620.0,509.1188466360286,No
53511.9,22.0,1538.0,182.9470141871684,No
53511.9,15.0,2178.0,255.38247786408527,No
53511.9,8.5,5486.0,531.2866363837886,No
53603.94,8.5,3968.0,272.6381484678914,No
53603.94,4.9,7271.0,516.5826192391688,No
53603.94,22.0,1128.0,660.4127194414111,No
53603.94,15.0,2140.0,679.4777406214275,No
53689.6,8.5,5355.0,353.62559650002714,No
53689.6,22.0,2194.0,262.06504917672635,No
53689.6,15.0,4086.0,314.4192901206922,No
53689.6,4.9,10773.0,650.6679817695043,No
53801.41,22.0,1300.0,149.83324063771698,No
53801.41,4.9,5437.0,305.3251095144322,No
53801.41,8.5,3356.0,248.28580305768594,No
53801.41,15.0,1833.0,267.20913625847453,No
54248.1,8.5,1586.0,109.14893494670483,No
54248.1,4.9,3015.0,190.21451705902996,No
54248.1,22.0,737.0,136.08424780260205,No
54366.74,8.5,963.0,90.81532084400737,No
54366.74,4.9,1751.0,185.02432948128742,No
54772.5,8.5,825.0,108.17376068159967,No
54772.5,4.9,1226.0,220.68459393442035,No
54926.22,8.5,721.0,81.4162299544753,No
54926.22,4.9,1424.0,105.60984802564579,No
55781.65,4.9,546.0,65.91881370291793,No
